order_id,customer,item,qty,price
1095,   ,Speaker,4,78.40
1096,Lucia Santos,Mousepad,4,9.75
1097,Helena Rey,Mousepad,3,9.75
1098,Omar Roldan,Monitor,3,229.50
1099,Nadia Kaur,Mousepad,6,9.75
1100,Valeria Ibarra,Sleeve,5,27.50
1101,Carla Cano,Tripod,4,56.30
1102,Ivan Roldan,Webcam,4,89.00
1103,Felix Nunez,Stand,3,38.75
1104,Julia Santos,Lamp,3,32.25,RUSH
1105,Camila Ibarra,Keyboard,5,45.00
1106,Hugo Vidal,Mousepad,6,9.75
1107,Ximena Ruiz,Dock,3,120.00
1108,Bruno Marsh,Stand,4,38.75
1109,Esther Ruiz,Monitor,2,229.50
1110,Tania Ruiz,Hub,4,54.00
1111,Sofia Vidal,Dock,1,120.00
1112,Priya Lin,Router,1,149.99
1113,Victor Vega,Cable,1,12.25
1114,Ivan Ruiz,Webcam,3,89.00
1115,Esther Park,Keyboard,2,45.00
1116,Nadia Rey,Dock,two,120.00
1117,Victor Cortes,Headset,5,64.25
1118,Carla Diaz,Monitor,3,229.50
1119,Oscar Ibarra,Tripod,1,56.30
1120,Tania Rivas,Cable,6,12.25
1121,Marcus Kaur,Mouse,1,19.50
1122,Diego Rey,Printer,5,198.85
1123,Diego Marsh,Stand,4,38.75
1124,Valeria Rey,Webcam,1,89.00
1125,Jon Cortes,Router,6,$149.99
1126,Bruno Marsh,Dock,2,120.00
1127,Bruno Duran,Headset,5,64.25
1128,Jon Moreno,Charger,1,41.00
1129,Carla Rivas,Printer,5,198.85
1130,Priya Moreno,Mouse,2,19.50
1131,Helena Rey,Charger,5,41.00
1132,Rosa Bell,Headset,6,64.25
1133,Paula Ruiz,Monitor,1,229.50
1134,Oscar Kaur,Speaker,1,78.40
1135,Carla Pena,Cable,3,12.25
1136,Walter Blanco,Speaker,6,78.40
1137,Karim Blanco,Stand,-6,38.75
1138,Iris Rivas,Monitor,3,229.50
1139,Elena Ferrer,Speaker,2,78.40
1140,Teresa Ortiz,Webcam,4,89.00
1141,Camila Cano,Dock,1,120.00
1142,Nadia Diaz,Charger,5,41.00
1143,Marcus Marsh,Stand,4,38.75
1144,Ana Salas,Adapter,2,19.99
1145,Karim Ferrer,Lamp,3,32.25
1146,Gabriel Lin,Lamp,4,
1147,Iris Serra,Stand,1,38.75
1148,Lucia Nunez,Headset,4,64.25
1149,Elena Lin,Speaker,5,78.40
1150,Ivan Ibarra,Webcam,5,89.00
1151,Paula Ibarra,Mouse,4,19.50
1152,Bruno Prieto,Printer,1,198.85
1153,Luis Ortiz,Printer,2
1154,Paula Marsh,Adapter,2,19.99
1155,Nora Ferrer,Cable,6,12.25
1156,"Olivia Prieto, MD",Stand,5,38.75
1157,Marcus Moreno,Printer,3,198.85
1158,Priya Pena,Hub,5,54.00
1159,Ivan Cano,Sleeve,4,27.50
1160,Mateo Roldan,Lamp,4,32.25

1161,Marcus Vidal,Hub,3,54.00
1162,Tania Kaur,Router,2,149.99
1163,Jon Cortes,Cable,6,12.25
1164,Oscar Roldan,Drive,6,112.60
1165,Jon Rivas,Webcam,6,89.00
1166,Camila Ruiz,Speaker,4,78.40
1167,Victor Cole,Hub,1,54.00
1168,Elena Salas,Mousepad,0,9.75
1169,Dario Ferrer,Adapter,1,19.99
1170,Victor Rey,Dock,2,120.00
1171,Wendy Ferrer,Router,6,149.99
1172,Ulises Serra,Cable,2,12.25
1173,Diego Moreno,Speaker,2,78.40
1174,Dario Ortiz,Mouse,5,19.50
1175,Victor Munoz,Printer,2,198.85
1176,Yara Santos,Cable,6,12.25
1177,Valeria Ramos,Monitor,3,pending
1178,Tania Prieto,Switch,1,95.00
1179,Hugo Vega,Drive,3,112.60
1180,Oscar Rey,Hub,2,54.00
1181,Elena Salas,Stand,4,38.75
1182,Omar Ramos,Dock,4,120.00
1183,Oscar Nair,Mouse,6,19.50
1184,Carla Prieto,Charger,1,41.00
1185,,Drive,1,112.60
1186,Lucia Ortiz,Speaker,4,78.40
1187,Karim Ortiz,Webcam,2,89.00
1188,Ivan Ortiz,Printer,3,198.85
1189,Priya Prieto,Headset,4,64.25
1190,Oscar Ramos,Cable,1,12.25
1191,Dario Cole,Drive,4,112.60
1192,Lucia Park,Lamp,5,32.25
1193,Hugo Duran,Sleeve,free,27.50
1194,Walter Ortiz,Router,6,149.99
1195,Elena Ferrer,Webcam,1,89.00
1196,Oscar Prieto,Adapter,5,19.99
1197,Omar Cole,Switch,4,95.00
